model,features,train_samples,test_samples,positive_rate_test,roc_auc,average_precision,f1_at_0_5,precision_at_top_10pct,precision_at_top_5pct
price_only,7,189534,47384,0.0703824075637346,0.8393923041203637,0.31104439425163155,0.3622473340760783,0.32503165892781766,0.40692275221612495
tweet_only,10,189534,47384,0.0703824075637346,0.7215510476730579,0.19977330689285344,0.22276700063952248,0.22646686365555085,0.28619670747150694
price_tweet_fusion,17,189534,47384,0.0703824075637346,0.836835705963677,0.31568829767054407,0.36922141119221413,0.3296749683410722,0.40861122836639935
