bar_time_utc,price_time_local,date,open,high,low,close,volume,barCount,average,tweet_count,labeled_count,unlabeled_count,bullish_count,bearish_count,sentiment_sum,sentiment_mean,labeled_sentiment_mean,return_1m,return_5m,forward_return_1m,forward_return_5m,hour
2020-03-24 13:18:00+00:00,2020-03-24 07:18:00,20200324  07:18:00,233.97,234.17,233.89,234.0,251,126,233.981,16.0,6.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0004275331338179,0.0009410556933868,0.0,0.0020512820512819,7
2020-03-24 13:54:00+00:00,2020-03-24 07:54:00,20200324  07:54:00,236.63,236.72,236.34,236.64,4178,2401,236.508,21.0,8.0,13.0,4.0,4.0,0.0,0.0,0.0,4.226006846130837e-05,0.0048834345407446,-0.0001690331304935,-0.0047751859364435,7
2020-03-24 14:25:00+00:00,2020-03-24 08:25:00,20200324  08:25:00,238.04,238.47,237.82,238.32,5564,2666,238.173,19.0,8.0,11.0,5.0,3.0,2.0,0.1052631578947368,0.25,0.001134215500945,0.0047641131582276,0.00121685129238,-0.0018042967438738,8
2020-03-24 14:58:00+00:00,2020-03-24 08:58:00,20200324  08:58:00,237.33,237.56,237.2,237.51,1910,992,237.373,21.0,10.0,11.0,2.0,8.0,-6.0,-0.2857142857142857,-0.6,0.000716272014831,-4.210171775020921e-05,-0.0002105174518967,0.000842069807587,8
2020-03-24 15:47:00+00:00,2020-03-24 09:47:00,20200324  09:47:00,239.54,239.66,239.24,239.37,2667,1541,239.448,18.0,10.0,8.0,6.0,4.0,2.0,0.1111111111111111,0.2,-0.0006679747839518,0.0004597508986041,-0.0012532898859506,-0.0006684212725069,9
2020-03-24 16:32:00+00:00,2020-03-24 10:32:00,20200324  10:32:00,241.66,241.98,241.54,241.78,3714,1809,241.743,20.0,12.0,8.0,5.0,7.0,-2.0,-0.1,-0.1666666666666666,0.0004551661356395,-0.0002480979159774,0.0013648771610554,0.0029365538919678,10
2020-03-24 17:10:00+00:00,2020-03-24 11:10:00,20200324  11:10:00,238.48,238.5,237.96,238.13,9998,4452,238.19,22.0,13.0,9.0,1.0,12.0,-11.0,-0.5,-0.8461538461538461,-0.0014676283126466,-0.0043899991638097,0.0026456137403938,0.005333221349683,11
2020-03-24 17:48:00+00:00,2020-03-24 11:48:00,20200324  11:48:00,239.11,239.3,238.5,238.65,2722,1216,238.867,17.0,7.0,10.0,0.0,7.0,-7.0,-0.4117647058823529,-1.0,-0.0018820577164365,-0.0005025757004648,-0.0010894615545778,-0.0056987219777917,11
2020-03-24 18:23:00+00:00,2020-03-24 12:23:00,20200324  12:23:00,236.83,237.35,236.78,237.24,3285,1818,237.125,24.0,11.0,13.0,4.0,7.0,-3.0,-0.125,-0.2727272727272727,0.0016889039013681,0.0020696937697994,0.0008008767492833,0.0025712358792782,12
2020-03-24 19:20:00+00:00,2020-03-24 13:20:00,20200324  13:20:00,241.09,241.25,240.6,241.08,3651,1755,240.901,24.0,13.0,11.0,3.0,10.0,-7.0,-0.2916666666666667,-0.5384615384615384,-4.1478286117224705e-05,-0.0027714581178903,0.0012444001991038,-0.0005807200929153,13
2020-03-24 19:55:00+00:00,2020-03-24 13:55:00,20200324  13:55:00,242.83,243.32,242.71,243.21,19689,9210,243.022,25.0,9.0,16.0,4.0,5.0,-1.0,-0.04,-0.1111111111111111,0.001564880780793,0.0078319244157136,0.0015213190247111,-0.0025903540150487,13
