filter,minutes,mean_abs_forward_return_5m,median_abs_forward_return_5m,mean_volume,positive_forward_return_share,mean_tweet_count
tweet_count >= 0,236928,0.0006235090284609379,0.0003530450132391,780.1679033292814,0.49496893571042677,4.967205226904376
tweet_count >= 7,67691,0.0009702192256787017,0.0006062118888849,1752.4905083393655,0.507231389697301,10.45429968533483
tweet_count >= 11,25258,0.0012778024540214543,0.0008405790012086501,2537.3442473671707,0.501742022329559,14.211893261540897
tweet_count >= 13,15156,0.0014210205105391026,0.0009566021491662,2952.992808128794,0.5001979414093428,16.055357614146214
tweet_count >= 19,2794,0.0017382949988104589,0.00125080523602195,4252.793843951325,0.5042949176807444,21.6109520400859
