bar_time_utc,price_time_local,date,open,high,low,close,volume,barCount,average,tweet_count,labeled_count,unlabeled_count,bullish_count,bearish_count,sentiment_sum,sentiment_mean,labeled_sentiment_mean,return_1m,return_5m,forward_return_1m,forward_return_5m,hour
2020-03-24 13:07:00+00:00,2020-03-24 07:07:00,20200324  07:07:00,233.26,233.45,233.26,233.45,161,70,233.358,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0012437810945273,0.0018023430459597,0.0003426857999571,0.0008567144998929,7
2020-03-26 14:59:00+00:00,2020-03-26 08:59:00,20200326  08:59:00,255.55,255.85,255.19,255.56,2207,1159,255.501,4.0,2.0,2.0,0.0,2.0,-2.0,-0.5,-1.0,3.9131285462623566e-05,0.0036129437637448,-0.0029347315698857,0.0020347472217874,8
2020-03-23 15:12:00+00:00,2020-03-23 09:12:00,20200323  09:12:00,223.48,223.84,223.25,223.27,3867,2391,223.504,4.0,2.0,2.0,0.0,2.0,-2.0,-0.5,-1.0,-0.0008502640293565,-0.0012971909107174,-0.0008509875934966,-0.0001791552828415,9
2020-03-23 15:38:00+00:00,2020-03-23 09:38:00,20200323  09:38:00,221.42,221.43,220.57,220.67,2582,1657,220.976,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,-0.0034322359210586,-0.0023960216998192,-0.0026736756242351,-0.0082476095527257,9
2020-03-23 16:58:00+00:00,2020-03-23 10:58:00,20200323  10:58:00,227.59,228.16,227.53,227.74,5651,3423,227.884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006151142355008,0.0072088806333201,-0.0015807499780452,-0.0067181874066918,10
2020-03-27 17:20:00+00:00,2020-03-27 11:20:00,20200327  11:20:00,254.38,254.76,254.38,254.61,1715,944,254.587,4.0,3.0,1.0,0.0,3.0,-3.0,-0.75,-1.0,0.0009041591320073,0.0025594581823908,-0.0005105848159931,0.0002356545304582,11
2020-03-23 18:04:00+00:00,2020-03-23 12:04:00,20200323  12:04:00,221.32,222.43,221.25,222.2,6279,2865,221.897,4.0,2.0,2.0,0.0,2.0,-2.0,-0.5,-1.0,0.0040215082915366,-0.0033639829558197,0.0027002700270029,-0.0035103510351035,12
2020-03-23 18:02:00+00:00,2020-03-23 12:02:00,20200323  12:02:00,221.86,222.31,221.27,221.46,7654,3438,221.738,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.001802938790228,-0.0048530601240225,-0.00067732321864,0.0066829224239139,12
2020-03-26 19:39:00+00:00,2020-03-26 13:39:00,20200326  13:39:00,256.93,257.59,256.54,257.59,6338,3621,256.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026078156624629,-0.0068627828970198,0.0014752125470711,0.0014363911642532,13
2020-03-26 19:40:00+00:00,2020-03-26 13:40:00,20200326  13:40:00,257.58,258.11,257.43,257.97,5751,3396,257.826,4.0,3.0,1.0,1.0,2.0,-1.0,-0.25,-0.3333333333333333,0.0014752125470711,-0.0045917579873436,-0.0003101135790984,-0.0025584370275614,13
2020-03-30 13:22:00+00:00,2020-03-30 07:22:00,20200330  07:22:00,255.3,255.47,255.2,255.3,421,70,255.343,4.0,4.0,0.0,1.0,3.0,-2.0,-0.5,-0.5,0.0,-0.0006263211461676,0.0004308656482567,0.0012925969447707,7
2020-03-31 13:04:00+00:00,2020-03-31 07:04:00,20200331  07:04:00,259.74,259.81,259.62,259.67,354,94,259.733,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.0003464736680011,0.0008479475814222,0.0006931875072206,0.0016559479339162,7
2020-03-31 14:36:00+00:00,2020-03-31 08:36:00,20200331  08:36:00,262.43,262.77,262.37,262.64,1560,952,262.635,3.0,3.0,0.0,1.0,2.0,-1.0,-0.3333333333333333,-0.3333333333333333,0.0008383507354621,0.0006476930696839,0.0001903746573257,0.0012183978068838,8
2020-04-06 14:46:00+00:00,2020-04-06 08:46:00,20200406  08:46:00,259.43,259.52,259.07,259.17,2999,1236,259.216,4.0,3.0,1.0,0.0,3.0,-3.0,-0.75,-1.0,-0.0008866615265996,-0.0019255208533908,-0.0001157541382105,-0.0008102789674732,8
2020-03-24 15:15:00+00:00,2020-03-24 09:15:00,20200324  09:15:00,237.88,237.94,237.36,237.39,2403,1203,237.607,2.0,1.0,1.0,0.0,1.0,-1.0,-0.5,-1.0,-0.0020598621153523,0.0008854034910192,0.0029066093769747,0.0010952441130629,9
2020-03-23 16:59:00+00:00,2020-03-23 10:59:00,20200323  10:59:00,227.74,227.93,227.0,227.38,3377,2095,227.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015807499780452,0.0049500574560241,-0.0021549828480957,-0.0089277860849679,10
2020-04-01 17:15:00+00:00,2020-04-01 11:15:00,20200401  11:15:00,246.45,246.53,246.2,246.24,2110,1230,246.328,3.0,2.0,1.0,0.0,2.0,-2.0,-0.6666666666666666,-1.0,-0.0008926397792745,-0.0010952902519166,0.0007309941520468,0.002720922677063,11
2020-04-03 17:39:00+00:00,2020-04-03 11:39:00,20200403  11:39:00,246.12,246.29,246.03,246.09,1225,824,246.146,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-8.126447523471025e-05,-0.0006091617933723,-0.0007720752570198,0.0002844487789019,11
2020-03-31 18:07:00+00:00,2020-03-31 12:07:00,20200331  12:07:00,259.53,259.88,259.53,259.82,1642,959,259.753,4.0,2.0,2.0,0.0,2.0,-2.0,-0.5,-1.0,0.0010788317793017,0.0,0.0006927873142945,0.0005773227619121,12
2020-03-27 19:49:00+00:00,2020-03-27 13:49:00,20200327  13:49:00,255.23,255.69,254.8,255.05,6134,3547,255.161,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0008618325694362,-0.0037498535213467,-0.0082336796706529,-0.0092530876298765,13
2020-03-31 19:17:00+00:00,2020-03-31 13:17:00,20200331  13:17:00,257.86,258.25,257.76,258.01,4163,2282,258.046,4.0,3.0,1.0,0.0,3.0,-3.0,-0.75,-1.0,0.0006205158037617,-0.0017797036406547,-0.0012015038176814,-0.0052323553350643,13
2020-03-24 20:04:00+00:00,2020-03-24 14:04:00,20200324  14:04:00,242.95,243.37,242.5,242.57,1400,439,242.847,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.0017284661920243,-0.0039829186170649,0.0009894051201715,0.0061013315743909,14
2020-03-24 21:31:00+00:00,2020-03-24 15:31:00,20200324  15:31:00,243.2,243.2,243.19,243.2,14,5,243.197,4.0,4.0,0.0,1.0,3.0,-2.0,-0.5,-0.5,-4.111673039763897e-05,-0.0002055498458376,-0.0001233552631578,-0.0004111842105263,15
2020-03-24 21:43:00+00:00,2020-03-24 15:43:00,20200324  15:43:00,243.15,243.24,243.11,243.12,12,8,243.133,4.0,1.0,3.0,1.0,0.0,1.0,0.25,1.0,-0.0001233806292412,8.227067050592396e-05,0.0011105626850937,0.003002632444883,15
2020-03-24 22:18:00+00:00,2020-03-24 16:18:00,20200324  16:18:00,245.08,245.18,245.0,245.16,333,47,245.024,2.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0006530612244897,-0.0003262110585549,0.0004894762604013,0.0015092184695708,16
2020-03-24 22:40:00+00:00,2020-03-24 16:40:00,20200324  16:40:00,245.97,246.04,245.4,245.4,238,94,245.657,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0020333468889792,-0.0058337384540593,0.0013447432762836,0.0031377343113283,16
2020-03-24 23:43:00+00:00,2020-03-24 17:43:00,20200324  17:43:00,243.09,243.1,242.67,242.71,212,67,242.906,3.0,2.0,1.0,0.0,2.0,-2.0,-0.6666666666666666,-1.0,-0.0016864100032905,-0.0035717218162411,4.120143380981211e-05,-0.0037493304767005,17
2020-03-25 10:45:00+00:00,2020-03-25 04:45:00,20200325  04:45:00,243.67,243.74,243.01,243.05,39,19,243.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029536038068671,-0.0056457881602094,-0.0016868957004732,-0.0015634643077556,4
2020-03-25 11:33:00+00:00,2020-03-25 05:33:00,20200325  05:33:00,240.34,240.59,239.61,239.67,794,205,240.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027877174003495,-0.009136762030759,-0.002586890307506,0.0001668961488714,5
2020-03-25 12:39:00+00:00,2020-03-25 06:39:00,20200325  06:39:00,242.0,242.0,241.35,241.5,301,76,241.7,4.0,1.0,3.0,0.0,1.0,-1.0,-0.25,-1.0,-0.0020661157024793,-0.0013645949634041,0.0036024844720496,0.0020703933747412,6
2020-04-01 13:01:00+00:00,2020-04-01 07:01:00,20200401  07:01:00,248.5,248.54,248.2,248.31,392,122,248.323,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,-0.0006439409184206,-0.0008450024142926,0.0011678949699971,0.0023357899399942,7
2020-04-03 13:11:00+00:00,2020-04-03 07:11:00,20200403  07:11:00,251.04,251.06,250.8,250.9,653,251,250.938,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0004382295526074,-0.0046020788701103,0.0004384216819448,0.0010362694300518,7
