ticker,model,train_final_loss,mse,mae,directional_accuracy,information_coefficient,strategy_mean_return,strategy_sharpe
AMD,price_only,0.006166764734578984,0.0011173083912581205,0.02500273659825325,0.5431472081218274,0.16569794281565173,-0.0020451426971703768,-1.1406671960528543
AMD,text_only,0.005779878901583808,0.0012627472169697285,0.027911992743611336,0.5329949238578681,0.023555367151115676,0.0031497818417847157,1.763029249082834
AMD,static_fusion,0.0014319957034396274,0.0009726511198095977,0.024721717461943626,0.49238578680203043,-0.0928478762920243,0.0038894624449312687,2.1841318798450104
AMD,full_drl,0.5578297461782183,0.0008932697237469256,0.022005874663591385,0.49238578680203043,-0.02774586796736871,-0.00446079159155488,-2.512473074084339
INTC,price_only,0.006336677886013474,0.002017094986513257,0.03531429171562195,0.41379310344827586,0.012821149212556886,8.304262883029878e-05,0.03185980957385698
INTC,text_only,0.004679294136751976,0.0019609297160059214,0.0332895889878273,0.4630541871921182,-0.03345127760106542,7.015687151579186e-05,0.02691609587548333
INTC,static_fusion,0.001070888970778989,0.0017966211307793856,0.03059583529829979,0.5812807881773399,0.16623297226543207,-8.304262883029878e-05,-0.03185980957385698
INTC,full_drl,0.5545315487044198,0.0019357862183824182,0.03191019967198372,0.5812807881773399,0.10967368101476359,-8.304262883029878e-05,-0.03185980957385698
PFE,price_only,0.014741002892454466,0.009290839545428753,0.09398284554481506,0.4444444444444444,-0.2783633475987996,-0.000929326459299773,-0.901360479820859
PFE,text_only,0.011902890789012114,0.0010770950466394424,0.02597009390592575,0.5,-0.06752938467420043,0.0012805568985641003,1.2438248188846655
PFE,static_fusion,0.0013820489402860403,0.002087299944832921,0.04236464947462082,0.4444444444444444,0.014009700822362848,-0.000929326459299773,-0.901360479820859
PFE,full_drl,0.5408013860384623,0.00040896108839660883,0.01585223898291588,0.5,0.024132241766916473,0.0006126821390353143,0.5937040541522589
JNJ,price_only,0.019651195034384727,0.006758119445294142,0.08094469457864761,0.6666666666666666,-0.014630019930226296,0.0007783147739246488,1.14050514843361
JNJ,text_only,0.013735668268054724,0.0030413002241402864,0.04894600436091423,0.4074074074074074,0.014429133774026527,-0.0011416388442739844,-1.6778967979641553
JNJ,static_fusion,0.003906634170562029,0.00350046600215137,0.05747294798493385,0.6666666666666666,-0.06632115758099386,0.0007783147739246488,1.14050514843361
JNJ,full_drl,0.5326406061649323,0.00037719873944297433,0.014864418655633926,0.6851851851851852,-0.04879092075536705,0.001040703384205699,1.5281072798084738
BAC,price_only,0.015188519222040972,0.0028060912154614925,0.048998598009347916,0.4626865671641791,0.07058860224619619,-0.002876659855246544,-2.5071762360070875
BAC,text_only,0.013494677531222502,0.003223937004804611,0.05004959926009178,0.5223880597014925,-0.027849858440700096,-0.002625473774969578,-2.2835015008871307
BAC,static_fusion,0.0012159649631939828,0.0027823112905025482,0.04722876846790314,0.44776119402985076,-0.13508476750948764,-0.0030233487486839294,-2.6384681447982645
BAC,full_drl,0.5497203866640726,0.0015887487679719925,0.03549035266041756,0.5074626865671642,-0.06527690595923635,0.002876659855246544,2.5071762360070875
JPM,price_only,0.021986357867717743,0.0005486584268510342,0.017351923510432243,0.5932203389830508,0.09136631259497081,0.0031884266063570976,2.614906253879973
JPM,text_only,0.01537103671580553,0.009954158216714859,0.08925997465848923,0.5423728813559322,0.2550321815168176,-0.0007822852930985391,-0.6335442019219831
JPM,static_fusion,0.002464268764015287,0.00047654364607296884,0.01537698321044445,0.4576271186440678,0.08068466098132063,0.0026990938931703568,2.205130505491738
JPM,full_drl,0.5421026051044464,0.0018586621154099703,0.03950415551662445,0.5423728813559322,-0.19162275451290658,-0.0007822852930985391,-0.6335442019219831
