ticker,n_daily_events,ar1_r2,ar1_plus_content_r2,ar1_plus_noise_r2,ar1_plus_gate_r2,full_latent_proxy_r2,content_delta_r2,noise_delta_r2,gate_delta_r2
AMD,98.0,0.0291432432915725,0.0517117922520655,0.0291753763907692,0.0292258126150205,0.0521815173187982,0.0225685489604929,3.213309919669616e-05,8.256932344796741e-05
INTC,108.0,0.0010384033607078,0.0025664600497627,0.0043042873613832,0.0043286312709996,0.0140208976093646,0.0015280566890549,0.0032658840006754,0.0032902279102918
PFE,56.0,0.0008971966471714,0.0039802159805072,0.0114741826604134,0.0227442466443321,0.034249058196268,0.0030830193333357,0.0105769860132419,0.0218470499971606
JNJ,50.0,0.0043677029661509,0.0090628763836203,0.0081752078807043,0.0145659714089728,0.0326586068842515,0.0046951734174693,0.0038075049145533,0.0101982684428219
BAC,55.0,0.0613132193639498,0.0973088091847649,0.0682112314871539,0.0625810401232178,0.1102621610349137,0.035995589820815,0.006898012123204,0.001267820759268
JPM,53.0,0.015987880957647,0.0193491102155636,0.0284100150733812,0.0366499380924068,0.0372946147932712,0.0033612292579165,0.0124221341157342,0.0206620571347597
