group,horizon_min,events,mean_abs_return_bps,median_abs_return_bps,mean_signed_return_bps,mean_future_volume,mean_volume_ratio_vs_prior_30m
tweet_spike,1,1630,4.406468235708315,2.845100603218187,0.3607036072008438,1954.6742331288344,1.2428546484517509
tweet_spike,2,1630,6.256587261378035,4.087672589663804,0.27186903109196875,3850.7245398773007,1.2334599913108553
tweet_spike,5,1629,9.68196879163515,6.248915118902687,1.0646702046636154,9582.761817065684,1.2024313401703828
tweet_spike,10,1629,13.123060703036774,8.438554819354405,2.0048408998146003,18639.705340699817,1.223182885302546
tweet_spike,15,1629,15.856803596682935,10.396328321120585,2.023056000088947,26963.380601596073,1.2372092785549158
tweet_spike,30,1629,23.380405877345133,15.975656143021322,3.1400774823377096,51129.696132596684,1.2809003346365524
matched_control,1,1631,4.3788796504163185,2.85046462573435,-0.3589636140438405,1547.692213366033,1.3958689409543028
matched_control,2,1631,6.51493277992591,4.350933896883902,-0.37985301112402947,3122.4524831391786,1.4484377726788331
matched_control,5,1631,10.269241869338744,7.103233662564268,-0.5790343924009123,7793.071122011036,1.4493156630382718
matched_control,10,1630,14.158988775182838,9.80038752145973,-0.7248268894719618,15623.500613496932,1.4774291383506641
matched_control,15,1630,16.862748158528326,11.826355499262032,-0.3829991034883318,23318.176687116564,1.506097332755902
matched_control,30,1630,23.18097533716613,16.625400856227213,-0.15659564407433102,46143.893251533744,1.6180881797342979
